music_id,music_name,music_url,music_author,music_album,music_list_id
28409247,Eurydice,http://m10.music.126.net/20190509103328/24c08ded33c0b33a39137dc34420760f/ymusic/0c54/8f18/1374/e08cfdf655ce439d70d0a4dfb639ac82.mp3,The Pains of Being Pure at Heart,Days of Abandon,956
36308371,Memories That You Call (Petit Biscuit Remix),http://m10.music.126.net/20190509103334/9063161eb49c2397c7c152d071261fb7/ymusic/6964/b74c/1b64/786ad063408d4c821a082eaf871bb86c.mp3,PETIT BISCUIT,Odesza,956
26060069,Au Revoir,http://m10.music.126.net/20190509103340/ce6799cd9ac6b16086ad6d8dc9146141/ymusic/847a/7f8b/d059/19d637aa794513b38b8a2a4a51d239c5.mp3,OneRepublic,Native (Deluxe Version),956
434550115,Lost City,http://m10.music.126.net/20190509103346/07c218dfbb28cc1566ef899534939006/ymusic/62b6/55c8/171a/7b8ac5c37f3ab4f044e99cdbd25189fb.mp3,Brett,Die Young,956
28591875,Always,http://m10.music.126.net/20190509103352/bbb913dcae9dd409a34bf9d72ef4121f/ymusic/5358/055b/555c/d260b3421621dedf1c5db6d42d10f64d.mp3,Brett,Brett,956
438462712,Burgundy Red,http://m10.music.126.net/20190509103358/bedc6a94484b442fe5055cb5f56fe1b2/ymusic/2604/e241/3a68/aba0404b155b6661d05ef7c5db344a12.mp3,落日飞车,Jinji Kikko,956
474409787,Landscapes,http://m10.music.126.net/20190509103404/86c62cc5dbe67bfddef3bd30e2b2ecd9/ymusic/23b7/7203/3d55/493a03537d1bc18560b176357a44a2cf.mp3,Talos,Wild Alee,956
469073254,Fading,http://m10.music.126.net/20190509103411/d745a80c6c6ad7f93d744fffdb9017eb/ymusic/cb23/316f/ff25/54516c7bbf99cf95fe1f24cc6e8a5c69.mp3,Vallis Alps,Fable,956
28409245,Beautiful You,http://m10.music.126.net/20190509103417/a4e34e6481266355eb8f8a57b42f321a/ymusic/502e/bd5e/b201/fc20ea40a1732cc823b30b6b804aa871.mp3,The Pains of Being Pure at Heart,Days of Abandon,956
484638725,All I Can Think About Is You,http://m10.music.126.net/20190509103423/a0f6defb6b895937650f0149b1cc595d/ymusic/cf17/fef0/96a9/815e8dd5b2a6c93c9e1d50007831a985.mp3,Coldplay,Kaleidoscope,956
